Title,Author,ASIN,Publisher,Publication date,Language,File size,Text-to-Speech,Enhanced typesetting,X-Ray,Word Wise,Print length,Lending,Best Sellers Rank,Customer Reviews
"Don't Hire a Software Developer Until You Read this Book: The software survival guide for tech startups & entrepreneurs (from idea, to build, to product launch and everything in between.)",K.N. Kukoyi,B01LY5C1IK,"Purposeful Publishing; 1st edition (December 2, 2016)","December 2, 2016",English,18452 KB,Enabled,Enabled,Not Enabled,Enabled,388 pages,Enabled,"#16 in Radio & Wireless Engineering(https://www.amazon.com/gp/bestsellers/digital-text/157748011/ref=pd_zg_hrsr_digital-text), #25 in Software Project Management(https://www.amazon.com/gp/bestsellers/digital-text/156146011/ref=pd_zg_hrsr_digital-text), #34 in Business Planning & Forecasting (Kindle Store)(https://www.amazon.com/gp/bestsellers/digital-text/154960011/ref=pd_zg_hrsr_digital-text)","4.3 out of 5 stars, 49 ratings"
This Time Next Year We'll Be Laughing,Jacqueline Winspear,B08681Y7KM,"Soho Press (November 10, 2020)","November 10, 2020",English,3798 KB,Enabled,Enabled,Enabled,Enabled,313 pages,Not Enabled,"#26 in Biographies & Memoirs of Authors(https://www.amazon.com/gp/bestsellers/digital-text/154758011/ref=pd_zg_hrsr_digital-text), #101 in Biographies & Memoirs of Women(https://www.amazon.com/gp/bestsellers/digital-text/154819011/ref=pd_zg_hrsr_digital-text), #107 in Author Biographies(https://www.amazon.com/gp/bestsellers/books/2330/ref=pd_zg_hrsr_books)","4.4 out of 5 stars, 730 ratings"
Elvis Presley: A Life From Beginning to End (Biographies of Musicians),Hourly History,B079YYT8Y5,,"February 20, 2018",English,2223 KB,Enabled,Enabled,Enabled,Enabled,45 pages,Enabled,"#1 in Mississippi Travel Guides (Kindle Store)(https://www.amazon.com/gp/bestsellers/digital-text/160031011/ref=pd_zg_hrsr_digital-text), #1 in Biographies of Pop Artists(https://www.amazon.com/gp/bestsellers/digital-text/154768011/ref=pd_zg_hrsr_digital-text), #5 in 1950s History of the the U.S.(https://www.amazon.com/gp/bestsellers/digital-text/156603011/ref=pd_zg_hrsr_digital-text)","4.1 out of 5 stars, 233 ratings"
Catching Yellowstone’s Wild Trout: A Fly-Fishing History and Guide (Natural History),,B07T28CF7V,"The History Press (June 17, 2019)","June 17, 2019",English,6997 KB,Enabled,Enabled,Not Enabled,Enabled,185 pages,Not Enabled,"#1 in Wyoming Travel Guides (Kindle Store)(https://www.amazon.com/gp/bestsellers/digital-text/160061011/ref=pd_zg_hrsr_digital-text), #8 in Sports Travel(https://www.amazon.com/gp/bestsellers/digital-text/14046384011/ref=pd_zg_hrsr_digital-text), #8 in Travel Photography (Kindle Store)(https://www.amazon.com/gp/bestsellers/digital-text/154735011/ref=pd_zg_hrsr_digital-text)","4.6 out of 5 stars, 19 ratings"
Lonely Planet California (Travel Guide),"Brett Atkinson, Andrew Bender, Sara Benson, Cristian Bonetto, Celeste Brash, Nate Cavalieri, &, more",B078K5W8VY,"Lonely Planet; 8th edition (February 1, 2018)","February 1, 2018",English,177630 KB,Enabled,Enabled,Not Enabled,Not Enabled,2062 pages,Not Enabled,"#7 in California Travel Guides (Kindle Store)(https://www.amazon.com/gp/bestsellers/digital-text/160005011/ref=pd_zg_hrsr_digital-text), #13 in San Jose California Travel Books(https://www.amazon.com/gp/bestsellers/books/67468/ref=pd_zg_hrsr_books), #13 in Sacramento California Travel Books(https://www.amazon.com/gp/bestsellers/books/67466/ref=pd_zg_hrsr_books)","4.6 out of 5 stars, 181 ratings"
"How to Borrow and Return Books from the Kindle Owners' Lending Library: Step-By-Step Guide with Screenshots On How to Borrow, Read and Return Books from the Kindle Owners' Lending Library",Alexa Danvers,B079KBDXC8,"Danvers Media LLC (February 2, 2018)","February 2, 2018",English,795 KB,Enabled,Enabled,Not Enabled,Enabled,19 pages,Enabled,"#1 in Kentucky Travel Guides (Kindle Store)(https://www.amazon.com/gp/bestsellers/digital-text/160022011/ref=pd_zg_hrsr_digital-text), #10 in 30-Minute Education & Reference Short Reads(https://www.amazon.com/gp/bestsellers/digital-text/8624135011/ref=pd_zg_hrsr_digital-text), #13 in Consumer Guides (Kindle Store)(https://www.amazon.com/gp/bestsellers/digital-text/158142011/ref=pd_zg_hrsr_digital-text)","4.1 out of 5 stars, 20 ratings"
The Unofficial Guide to Universal Orlando 2021 (Unofficial Guides),Seth Kubersky,B08N6M22JY,"Unofficial Guides (January 12, 2021)","January 12, 2021",English,59111 KB,Enabled,Enabled,Not Enabled,Enabled,657 pages,Not Enabled,"#5 in Amusement & Theme Park Travel(https://www.amazon.com/gp/bestsellers/digital-text/11650908011/ref=pd_zg_hrsr_digital-text), #7 in South Atlantic U.S. Regional Travel(https://www.amazon.com/gp/bestsellers/digital-text/159994011/ref=pd_zg_hrsr_digital-text), #12 in Consumer Guides (Kindle Store)(https://www.amazon.com/gp/bestsellers/digital-text/158142011/ref=pd_zg_hrsr_digital-text)","4.7 out of 5 stars, 46 ratings"
Cool Gray City of Love: 49 Views of San Francisco,Gary Kamiya,B00D78R550,"Bloomsbury USA; 1st edition (August 6, 2013)","August 6, 2013",English,4467 KB,Enabled,Enabled,Not Enabled,Enabled,398 pages,Enabled,"#3 in California Travel Guides (Kindle Store)(https://www.amazon.com/gp/bestsellers/digital-text/160005011/ref=pd_zg_hrsr_digital-text), #22 in Hiking & Walking Travel(https://www.amazon.com/gp/bestsellers/digital-text/11650911011/ref=pd_zg_hrsr_digital-text), #24 in Pacific U.S. Regional Travel(https://www.amazon.com/gp/bestsellers/digital-text/159999011/ref=pd_zg_hrsr_digital-text)","4.6 out of 5 stars, 265 ratings"
"The Complete Works of John Muir (Illustrated Edition): Travel Memoirs, Wilderness Essays, Environmental Studies & Letters","Charles D. Robinson, Herbert W. Gleason, Charles S. Olcott, Herbert K. Job, &, more",B07QXZP382,"Madison & Adams Press (April 22, 2019)","April 22, 2019",English,15895 KB,Enabled,Enabled,Not Enabled,Enabled,2197 pages,Not Enabled,"#11 in Biographies of Environmentalists & Naturalists (Kindle Store)(https://www.amazon.com/gp/bestsellers/digital-text/10332450011/ref=pd_zg_hrsr_digital-text), #11 in Pacific U.S. Regional Travel(https://www.amazon.com/gp/bestsellers/digital-text/159999011/ref=pd_zg_hrsr_digital-text), #77 in Ecotourism Travel Guides(https://www.amazon.com/gp/bestsellers/books/17213/ref=pd_zg_hrsr_books)","4.9 out of 5 stars, 20 ratings"
The Captain & Me: On and Off the Field with Thurman Munson,"Dan Epstein, Diana Munson, &, more",B08Z4JV9RT,"Triumph Books (April 20, 2021)","April 20, 2021",English,652 KB,Enabled,Enabled,Not Enabled,Enabled,243 pages,Enabled,"#9 in Mid Atlantic U.S. Regional Travel(https://www.amazon.com/gp/bestsellers/digital-text/159989011/ref=pd_zg_hrsr_digital-text), #28 in Baseball (Kindle Store)(https://www.amazon.com/gp/bestsellers/digital-text/159819011/ref=pd_zg_hrsr_digital-text), #60 in Mid Atlantic US Travel Books(https://www.amazon.com/gp/bestsellers/books/17240/ref=pd_zg_hrsr_books)","None, None"
The Oregon Trail: A New American Journey,Rinker Buck,B00P434GOO,"Simon & Schuster; Illustrated edition (June 30, 2015)","June 30, 2015",English,35190 KB,Enabled,Enabled,Enabled,Enabled,466 pages,Not Enabled,"#24 in Western U.S. Regional Travel(https://www.amazon.com/gp/bestsellers/digital-text/159996011/ref=pd_zg_hrsr_digital-text), #30 in Expeditions & Discoveries World History (Kindle Store)(https://www.amazon.com/gp/bestsellers/digital-text/156686011/ref=pd_zg_hrsr_digital-text), #86 in General Western US Travel Guides(https://www.amazon.com/gp/bestsellers/books/17256/ref=pd_zg_hrsr_books)","4.4 out of 5 stars, 1,576 ratings"
"Journal Of A Trapper: Nine Years in the Rocky Mountains, 1834-1843",Osborne Russell,B01MYMW9AQ,"Foresight Publishing (November 15, 2016)","November 15, 2016",English,2059 KB,Enabled,Enabled,Enabled,Enabled,167 pages,Not Enabled,"#14 in Mountain U.S. Regional Travel(https://www.amazon.com/gp/bestsellers/digital-text/159998011/ref=pd_zg_hrsr_digital-text), #16 in History of Pacific Northwest U.S.(https://www.amazon.com/gp/bestsellers/digital-text/156617011/ref=pd_zg_hrsr_digital-text), #22 in Sports Hunting(https://www.amazon.com/gp/bestsellers/digital-text/157580011/ref=pd_zg_hrsr_digital-text)","4.4 out of 5 stars, 778 ratings"
The Coconut Wireless: A Travel Adventure in Search of The Queen of Tonga (South Pacific Shenanigans Book 1),Simon Michael Prior,B08Y85D19R,,"March 15, 2021",English,2580 KB,Enabled,Enabled,Not Enabled,Enabled,250 pages,Not Enabled,"#2 in New Zealand Travel(https://www.amazon.com/gp/bestsellers/digital-text/14046413011/ref=pd_zg_hrsr_digital-text), #4 in South Pacific Travel Guides(https://www.amazon.com/gp/bestsellers/books/16869/ref=pd_zg_hrsr_books), #6 in Travel Tips (Kindle Store)(https://www.amazon.com/gp/bestsellers/digital-text/159970011/ref=pd_zg_hrsr_digital-text)","5.0 out of 5 stars, 12 ratings"
Wilt: Larger Than Life,,B009N3585M,"Triumph Books; 1st edition (September 1, 2012)","September 1, 2012",English,759 KB,Enabled,Enabled,Not Enabled,Enabled,449 pages,Enabled,"#8 in Mid Atlantic U.S. Regional Travel(https://www.amazon.com/gp/bestsellers/digital-text/159989011/ref=pd_zg_hrsr_digital-text), #10 in Basketball Biographies (Kindle Store)(https://www.amazon.com/gp/bestsellers/digital-text/159830011/ref=pd_zg_hrsr_digital-text), #14 in Basketball (Kindle Store)(https://www.amazon.com/gp/bestsellers/digital-text/159824011/ref=pd_zg_hrsr_digital-text)","4.6 out of 5 stars, 87 ratings"
The New Key West Bucket List: 100 Offbeat Adventures In The Southernmost City,,B07PYKSJKW,"Phantom Press, Key West (March 19, 2019)","March 19, 2019",English,1334 KB,Enabled,Enabled,Not Enabled,Enabled,124 pages,Enabled,"#14 in South Atlantic U.S. Regional Travel(https://www.amazon.com/gp/bestsellers/digital-text/159994011/ref=pd_zg_hrsr_digital-text), #24 in Florida Keys Travel Books(https://www.amazon.com/gp/bestsellers/books/17307/ref=pd_zg_hrsr_books), #83 in General Southern US Travel Guides(https://www.amazon.com/gp/bestsellers/books/17248/ref=pd_zg_hrsr_books)","4.5 out of 5 stars, 136 ratings"
"To Shake the Sleeping Self: A Journey from Oregon to Patagonia, and a Quest for a Life with No Regret",Jedidiah Jenkins,B072HZR519,"Convergent Books (October 2, 2018)","October 2, 2018",English,7458 KB,Enabled,Enabled,Not Enabled,Enabled,326 pages,Not Enabled,"#12 in Literary Travel(https://www.amazon.com/gp/bestsellers/digital-text/14046379011/ref=pd_zg_hrsr_digital-text), #13 in Cycling (Kindle Store)(https://www.amazon.com/gp/bestsellers/digital-text/159852011/ref=pd_zg_hrsr_digital-text), #43 in Literary & Religious Travel Guides(https://www.amazon.com/gp/bestsellers/books/3568222011/ref=pd_zg_hrsr_books)","4.5 out of 5 stars, 1,341 ratings"
"Full-time RV Living: What I Wish I Had Known 7 Years Ago, Before I Hit the Road",Jerry Minchey,B07MMKF38X,,"January 12, 2019",English,4166 KB,Enabled,Enabled,Not Enabled,Enabled,192 pages,Enabled,"#7 in Budget Travel(https://www.amazon.com/gp/bestsellers/digital-text/14046375011/ref=pd_zg_hrsr_digital-text), #8 in Solo Travel(https://www.amazon.com/gp/bestsellers/digital-text/14046382011/ref=pd_zg_hrsr_digital-text), #34 in Budget Travel Guides(https://www.amazon.com/gp/bestsellers/books/17211/ref=pd_zg_hrsr_books)","4.5 out of 5 stars, 131 ratings"
Thirst: 2600 Miles to Home,Heather Anderson,B07MXNHSLY,"Mountaineers Books (January 14, 2019)","January 14, 2019",English,4865 KB,Enabled,Enabled,Enabled,Enabled,201 pages,Enabled,"#9 in Pacific U.S. Regional Travel(https://www.amazon.com/gp/bestsellers/digital-text/159999011/ref=pd_zg_hrsr_digital-text), #10 in Hiking & Walking Travel(https://www.amazon.com/gp/bestsellers/digital-text/11650911011/ref=pd_zg_hrsr_digital-text), #79 in Adventurer & Explorer Biographies(https://www.amazon.com/gp/bestsellers/digital-text/154815011/ref=pd_zg_hrsr_digital-text)","4.7 out of 5 stars, 465 ratings"
Lonely Planet Florida (Travel Guide),Lonely Planet,B078JYX52N,"Lonely Planet; 8th edition (January 1, 2018)","January 1, 2018",English,149547 KB,Enabled,Enabled,Not Enabled,Not Enabled,1336 pages,Not Enabled,"#5 in Florida Travel Guides (Kindle Store)(https://www.amazon.com/gp/bestsellers/digital-text/160012011/ref=pd_zg_hrsr_digital-text), #7 in Tampa Florida Travel Books(https://www.amazon.com/gp/bestsellers/books/67479/ref=pd_zg_hrsr_books), #13 in South Atlantic U.S. Regional Travel(https://www.amazon.com/gp/bestsellers/digital-text/159994011/ref=pd_zg_hrsr_digital-text)","4.5 out of 5 stars, 116 ratings"
Lost In Michigan: History and Travel Stories from an Endless Road Trip,Mike Sonnenberg,B075YC95GN,"Etaoin Publishing (September 26, 2017)","September 26, 2017",English,1043 KB,Enabled,Enabled,Not Enabled,Enabled,184 pages,Enabled,"#4 in Midwest US Travel Guides (Kindle Store)(https://www.amazon.com/gp/bestsellers/digital-text/159986011/ref=pd_zg_hrsr_digital-text), #24 in History of Midwestern U.S.(https://www.amazon.com/gp/bestsellers/digital-text/10704215011/ref=pd_zg_hrsr_digital-text), #41 in History of Mid-Atlantic U.S.(https://www.amazon.com/gp/bestsellers/digital-text/156615011/ref=pd_zg_hrsr_digital-text)","4.7 out of 5 stars, 619 ratings"
Moon Maui: With Molokai & Lanai (Travel Guide),,B07P8LMBQ8,"Moon Travel; 11th edition (November 26, 2019)","November 26, 2019",English,47192 KB,Enabled,Enabled,Not Enabled,Enabled,752 pages,Not Enabled,"#8 in Ecotourism Travel(https://www.amazon.com/gp/bestsellers/digital-text/14046377011/ref=pd_zg_hrsr_digital-text), #9 in Bicycle Travel(https://www.amazon.com/gp/bestsellers/digital-text/11650910011/ref=pd_zg_hrsr_digital-text), #13 in Hotels & Inns Travel Reference (Kindle Store)(https://www.amazon.com/gp/bestsellers/digital-text/159964011/ref=pd_zg_hrsr_digital-text)","4.9 out of 5 stars, 11 ratings"
The Secret Knowledge of Water: There Are Two Easy Ways to Die in the Desert: Thirst and Drowning,Craig Childs,B001MTBTYY,"Back Bay Books; 1st edition (December 12, 2008)","December 12, 2008",English,2673 KB,Enabled,Enabled,Not Enabled,Not Enabled,285 pages,Not Enabled,"#8 in Mountain U.S. Regional Travel(https://www.amazon.com/gp/bestsellers/digital-text/159998011/ref=pd_zg_hrsr_digital-text), #9 in Natural Resources (Kindle Store)(https://www.amazon.com/gp/bestsellers/digital-text/159770011/ref=pd_zg_hrsr_digital-text), #12 in Deserts Ecosystems(https://www.amazon.com/gp/bestsellers/books/290073/ref=pd_zg_hrsr_books)","4.6 out of 5 stars, 197 ratings"
Travels with Surly: Cycling across the USA,,B01ELE5GOA,"Mick Dolan; 1st edition (April 20, 2016)","April 20, 2016",English,840 KB,Enabled,Enabled,Not Enabled,Not Enabled,292 pages,Enabled,"#15 in Solo Travel(https://www.amazon.com/gp/bestsellers/digital-text/14046382011/ref=pd_zg_hrsr_digital-text), #55 in Cycling Travel Guides(https://www.amazon.com/gp/bestsellers/books/290116/ref=pd_zg_hrsr_books), #115 in U.S. Regional Travel(https://www.amazon.com/gp/bestsellers/digital-text/159983011/ref=pd_zg_hrsr_digital-text)","4.4 out of 5 stars, 37 ratings"
The Personal Narrative of James O. Pattie of Kentucky,James Ohio  Pattie,B07G88XCN1,"Sounder Publications (August 6, 2018)","August 6, 2018",English,2324 KB,Enabled,Enabled,Enabled,Enabled,207 pages,Not Enabled,"#18 in Mountain U.S. Regional Travel(https://www.amazon.com/gp/bestsellers/digital-text/159998011/ref=pd_zg_hrsr_digital-text), #22 in History of Antebellum U.S.(https://www.amazon.com/gp/bestsellers/digital-text/156595011/ref=pd_zg_hrsr_digital-text), #43 in History of Southwestern U.S.(https://www.amazon.com/gp/bestsellers/digital-text/156619011/ref=pd_zg_hrsr_digital-text)","4.3 out of 5 stars, 231 ratings"
Where I Come From: Stories from the Deep South,Rick Bragg,B084HKNHLH,"Knopf (October 27, 2020)","October 27, 2020",English,2530 KB,Enabled,Enabled,Enabled,Enabled,257 pages,Not Enabled,"#12 in South U.S. Regional Travel(https://www.amazon.com/gp/bestsellers/digital-text/159991011/ref=pd_zg_hrsr_digital-text), #44 in General Southern US Travel Guides(https://www.amazon.com/gp/bestsellers/books/17248/ref=pd_zg_hrsr_books), #68 in Essays (Kindle Store)(https://www.amazon.com/gp/bestsellers/digital-text/7588758011/ref=pd_zg_hrsr_digital-text)","4.8 out of 5 stars, 667 ratings"
"Moon California Camping: The Complete Guide to More Than 1,400 Tent and RV Campgrounds (Travel Guide)",Tom Stienstra,B07G755QZD,"Moon Travel; 21st edition (April 30, 2019)","April 30, 2019",English,25781 KB,Enabled,Enabled,Not Enabled,Enabled,1835 pages,Not Enabled,"#4 in California Travel Guides (Kindle Store)(https://www.amazon.com/gp/bestsellers/digital-text/160005011/ref=pd_zg_hrsr_digital-text), #11 in Maps (Kindle Store)(https://www.amazon.com/gp/bestsellers/digital-text/158132011/ref=pd_zg_hrsr_digital-text), #12 in Travel Atlases & Maps (Kindle Store)(https://www.amazon.com/gp/bestsellers/digital-text/14046371011/ref=pd_zg_hrsr_digital-text)","4.6 out of 5 stars, 168 ratings"
John Muir Trail: South to North edition: The Essential Guide to Hiking America's Most Famous Trail,Elizabeth Wenk,B00LKCPVKG,"Wilderness Press (August 1, 2014)","August 1, 2014",English,32020 KB,Enabled,Enabled,Not Enabled,Enabled,,Not Enabled,"#13 in Pacific U.S. Regional Travel(https://www.amazon.com/gp/bestsellers/digital-text/159999011/ref=pd_zg_hrsr_digital-text), #239 in Pacific West United States Travel Books(https://www.amazon.com/gp/bestsellers/books/17261/ref=pd_zg_hrsr_books)","4.5 out of 5 stars, 24 ratings"
