Title,Author,ASIN,Publisher,Publication date,Language,File size,Text-to-Speech,Enhanced typesetting,X-Ray,Word Wise,Print length,Lending,Best Sellers Rank,Customer Reviews
"The Chalice and the Blade: Our History, Our Future---Updated With a New Epilogue",Riane Eisler,B005Z0IX7C,"HarperOne; First edition (November 22, 2011)","November 22, 2011",English,3552 KB,Enabled,Enabled,Not Enabled,Enabled,381 pages,Not Enabled,"#28 in Prehistory eBooks(https://www.amazon.com/gp/bestsellers/digital-text/10704219011/ref=pd_zg_hrsr_digital-text), #48 in Gender Studies (Kindle Store)(https://www.amazon.com/gp/bestsellers/digital-text/157500011/ref=pd_zg_hrsr_digital-text), #62 in History of Anthropology(https://www.amazon.com/gp/bestsellers/digital-text/10704235011/ref=pd_zg_hrsr_digital-text)","4.7 out of 5 stars, 365 ratings"
Aspergirls: Empowering Females with Asperger Syndrome,Rudy Simone,B00GDJQNO4,"Jessica Kingsley Publishers (June 15, 2010)","June 15, 2010",English,497 KB,Enabled,Enabled,Not Enabled,Enabled,244 pages,Not Enabled,"#65 in Autism(https://www.amazon.com/gp/bestsellers/digital-text/11717479011/ref=pd_zg_hrsr_digital-text), #83 in Parenting Children with Disabilities(https://www.amazon.com/gp/bestsellers/digital-text/157623011/ref=pd_zg_hrsr_digital-text), #124 in Children's Health (Kindle Store)(https://www.amazon.com/gp/bestsellers/digital-text/11717443011/ref=pd_zg_hrsr_digital-text)","4.6 out of 5 stars, 747 ratings"
Half Fast: (mis) Adventures in Slowly Sailing around (on) the World,Randy Baker,B07XD7D6RH,,"September 4, 2019",English,6747 KB,Enabled,Enabled,Not Enabled,Enabled,288 pages,Enabled,"#1 in Caribbean Travel(https://www.amazon.com/gp/bestsellers/digital-text/159945011/ref=pd_zg_hrsr_digital-text), #2 in Sailing (Kindle Store)(https://www.amazon.com/gp/bestsellers/digital-text/159904011/ref=pd_zg_hrsr_digital-text), #3 in Ecotourism Travel(https://www.amazon.com/gp/bestsellers/digital-text/14046377011/ref=pd_zg_hrsr_digital-text)","4.6 out of 5 stars, 183 ratings"
Fast Ice (The NUMA Files Book 18),,B08BKS6PSD,"G.P. Putnam's Sons (March 9, 2021)","March 9, 2021",English,2224 KB,Enabled,Enabled,Enabled,Enabled,416 pages,Not Enabled,"#4 in War & Military Action Fiction (Books)(https://www.amazon.com/gp/bestsellers/books/10159275011/ref=pd_zg_hrsr_books), #4 in War & Military Action Fiction (Kindle Store)(https://www.amazon.com/gp/bestsellers/digital-text/7588740011/ref=pd_zg_hrsr_digital-text), #5 in Sea Adventures Fiction (Books)(https://www.amazon.com/gp/bestsellers/books/10159273011/ref=pd_zg_hrsr_books)","4.7 out of 5 stars, 957 ratings"
"Straightening the Crooked Horse: Correct Imbalance, Relieve Strain, and Encourage Free Movement with an Innovative System of Straightness Training",,B08RC4FB8X,"Trafalgar Square Books (March 5, 2021)","March 5, 2021",English,25873 KB,Enabled,Enabled,Not Enabled,Enabled,160 pages,Not Enabled,"#13 in Equine Medicine (Kindle Store)(https://www.amazon.com/gp/bestsellers/digital-text/157301011/ref=pd_zg_hrsr_digital-text), #69 in Equine Medicine (Books)(https://www.amazon.com/gp/bestsellers/books/227727/ref=pd_zg_hrsr_books), #165 in Horse Care (Kindle Store)(https://www.amazon.com/gp/bestsellers/digital-text/156712011/ref=pd_zg_hrsr_digital-text)","4.4 out of 5 stars, 53 ratings"
The Girl with the Silver Star: A Novel,Rachel Zolotov,B08GYJTKDF,,"November 17, 2020",English,1980 KB,Enabled,Enabled,Not Enabled,Enabled,261 pages,Enabled,"#1 in Russian Literature (Kindle Store)(https://www.amazon.com/gp/bestsellers/digital-text/157105011/ref=pd_zg_hrsr_digital-text), #3 in Historical Russian Fiction(https://www.amazon.com/gp/bestsellers/digital-text/7588817011/ref=pd_zg_hrsr_digital-text), #14 in Biographical Fiction (Kindle Store)(https://www.amazon.com/gp/bestsellers/digital-text/6361434011/ref=pd_zg_hrsr_digital-text)","4.6 out of 5 stars, 142 ratings"
Mi Primera Vez con una Transexual Caliente: Emocionantes Historias de Sexo con Transexual (Spanish edition),,B083V21LDM,,"January 13, 2020",Spanish,574 KB,Enabled,Enabled,,Not Enabled,75 pages,Enabled,"#100 in LGBTQ+ Travel (Kindle Store)(https://www.amazon.com/gp/bestsellers/digital-text/10886546011/ref=pd_zg_hrsr_digital-text), #167 in LGBTQ+ Travel (Books)(https://www.amazon.com/gp/bestsellers/books/17217/ref=pd_zg_hrsr_books), #664 in Travel in Spanish(https://www.amazon.com/gp/bestsellers/digital-text/8407430011/ref=pd_zg_hrsr_digital-text)","None, None"
Morocco Unveiled: Backpacking Diaries of a European Millennial,Flavio Ciabattoni,B082VL6J4D,,"December 16, 2019",English,21191 KB,Enabled,Enabled,Not Enabled,Enabled,271 pages,Enabled,"#60 in History of Morocco(https://www.amazon.com/gp/bestsellers/digital-text/18139700011/ref=pd_zg_hrsr_digital-text), #99 in LGBTQ+ Travel (Kindle Store)(https://www.amazon.com/gp/bestsellers/digital-text/10886546011/ref=pd_zg_hrsr_digital-text), #151 in LGBTQ+ Travel (Books)(https://www.amazon.com/gp/bestsellers/books/17217/ref=pd_zg_hrsr_books)","5.0 out of 5 stars, 2 ratings"
LGBT Salt Lake (Images of Modern America),,B071XWLD2W,"Arcadia Publishing (May 29, 2017)","May 29, 2017",English,29688 KB,Enabled,Enabled,Not Enabled,Enabled,99 pages,Not Enabled,"#66 in Salt Lake City Utah Travel Books(https://www.amazon.com/gp/bestsellers/books/67546/ref=pd_zg_hrsr_books), #98 in LGBTQ+ Travel (Kindle Store)(https://www.amazon.com/gp/bestsellers/digital-text/10886546011/ref=pd_zg_hrsr_digital-text), #147 in LGBTQ+ Travel (Books)(https://www.amazon.com/gp/bestsellers/books/17217/ref=pd_zg_hrsr_books)","5.0 out of 5 stars, 11 ratings"
CRUISING THE GAY NUDE BEACH - Gay Travel Tales: Australia - Book 3,,B01B1WS1PG,"Argosy Media (January 24, 2016)","January 24, 2016",English,1712 KB,Enabled,Enabled,Not Enabled,Enabled,34 pages,Enabled,"#96 in LGBTQ+ Travel (Kindle Store)(https://www.amazon.com/gp/bestsellers/digital-text/10886546011/ref=pd_zg_hrsr_digital-text), #137 in LGBTQ+ Travel (Books)(https://www.amazon.com/gp/bestsellers/books/17217/ref=pd_zg_hrsr_books), #714 in One-Hour Travel Short Reads(https://www.amazon.com/gp/bestsellers/digital-text/8624201011/ref=pd_zg_hrsr_digital-text)","None, None"
Escape From Hermit Island: Two Women Struggle to Save Their Sunken Sailboat in Remote Papua New Guinea,Joy Smith,B01HLLQ8H4,"Seaworthy Publications, Inc. (June 25, 2016)","June 25, 2016",English,15957 KB,Enabled,Not Enabled,Not Enabled,Enabled,368 pages,Enabled,"#85 in Papua New Guinea Travel Guides(https://www.amazon.com/gp/bestsellers/books/16867/ref=pd_zg_hrsr_books), #97 in LGBTQ+ Travel (Kindle Store)(https://www.amazon.com/gp/bestsellers/digital-text/10886546011/ref=pd_zg_hrsr_digital-text), #138 in LGBTQ+ Travel (Books)(https://www.amazon.com/gp/bestsellers/books/17217/ref=pd_zg_hrsr_books)","3.7 out of 5 stars, 16 ratings"
"New Orleans haunted ghost house, LGBT bars & massage tour of the French Quarter: 2021 Covid Edition (Rich's Travels Book 2)",,B084VHVXN4,,"February 16, 2020",English,11431 KB,Enabled,Enabled,Not Enabled,Enabled,62 pages,Enabled,"#95 in LGBTQ+ Travel (Kindle Store)(https://www.amazon.com/gp/bestsellers/digital-text/10886546011/ref=pd_zg_hrsr_digital-text), #134 in LGBTQ+ Travel (Books)(https://www.amazon.com/gp/bestsellers/books/17217/ref=pd_zg_hrsr_books), #303 in West South Central U.S. Regional Travel(https://www.amazon.com/gp/bestsellers/digital-text/159995011/ref=pd_zg_hrsr_digital-text)","5.0 out of 5 stars, 9 ratings"
Lost in Language: A Tragicomic Memoir about how one man failed language class in Italy but found his voice,Jay Desind,B00UB7THFQ,"Pride Enterprises LLC (March 4, 2015)","March 4, 2015",English,5114 KB,Enabled,Enabled,Not Enabled,Enabled,315 pages,Enabled,"#94 in LGBTQ+ Travel (Kindle Store)(https://www.amazon.com/gp/bestsellers/digital-text/10886546011/ref=pd_zg_hrsr_digital-text), #126 in LGBTQ+ Travel (Books)(https://www.amazon.com/gp/bestsellers/books/17217/ref=pd_zg_hrsr_books), #479 in Biography Reference & Collections(https://www.amazon.com/gp/bestsellers/digital-text/154806011/ref=pd_zg_hrsr_digital-text)","4.2 out of 5 stars, 25 ratings"
The Ultimate Guide to Ladyboys,"Lars Danjim, Timinea",B00NULJU2A,,"September 23, 2014",English,834 KB,Enabled,Enabled,Not Enabled,Not Enabled,27 pages,Enabled,"#93 in LGBTQ+ Travel (Kindle Store)(https://www.amazon.com/gp/bestsellers/digital-text/10886546011/ref=pd_zg_hrsr_digital-text), #123 in LGBTQ+ Travel (Books)(https://www.amazon.com/gp/bestsellers/books/17217/ref=pd_zg_hrsr_books), #559 in 45-Minute Travel Short Reads(https://www.amazon.com/gp/bestsellers/digital-text/8624176011/ref=pd_zg_hrsr_digital-text)","4.1 out of 5 stars, 3 ratings"
Mujer Austral te vi en tres lagos (Spanish Edition),,B00UCVDASG,,"March 5, 2015",Spanish,1302 KB,Enabled,Enabled,,Not Enabled,68 pages,Enabled,"#92 in LGBTQ+ Travel (Kindle Store)(https://www.amazon.com/gp/bestsellers/digital-text/10886546011/ref=pd_zg_hrsr_digital-text), #120 in LGBTQ+ Travel (Books)(https://www.amazon.com/gp/bestsellers/books/17217/ref=pd_zg_hrsr_books), #447 in Travel in Spanish(https://www.amazon.com/gp/bestsellers/digital-text/8407430011/ref=pd_zg_hrsr_digital-text)","5.0 out of 5 stars, 1 rating"
Homo Odyssey: Adventures of a World Traveler,Brent Meersman,B07KFNL4FQ,"Bruno Gmuender; 1st edition (November 12, 2018)","November 12, 2018",English,1063 KB,Enabled,Enabled,Not Enabled,Enabled,272 pages,Not Enabled,"#91 in LGBTQ+ Travel (Kindle Store)(https://www.amazon.com/gp/bestsellers/digital-text/10886546011/ref=pd_zg_hrsr_digital-text), #119 in LGBTQ+ Travel (Books)(https://www.amazon.com/gp/bestsellers/books/17217/ref=pd_zg_hrsr_books), #1,442 in LGBTQ+ Biographies & Memoirs(https://www.amazon.com/gp/bestsellers/digital-text/156425011/ref=pd_zg_hrsr_digital-text)","None, None"
Gaysia: Adventures in the Queer East,,B07H47ZD1X,"Cleis Press (April 21, 2014)","April 21, 2014",English,596 KB,Enabled,Enabled,Not Enabled,Enabled,288 pages,Not Enabled,"#90 in LGBTQ+ Travel (Kindle Store)(https://www.amazon.com/gp/bestsellers/digital-text/10886546011/ref=pd_zg_hrsr_digital-text), #117 in LGBTQ+ Travel (Books)(https://www.amazon.com/gp/bestsellers/books/17217/ref=pd_zg_hrsr_books), #1,243 in Gay Studies(https://www.amazon.com/gp/bestsellers/digital-text/8288733011/ref=pd_zg_hrsr_digital-text)","4.0 out of 5 stars, 51 ratings"
LGBT Milwaukee (Images of Modern America),"Michail Takach, Don Schwamb",B01J970TIC,"Arcadia Publishing (August 22, 2016)","August 22, 2016",English,26838 KB,Enabled,Enabled,Not Enabled,Enabled,99 pages,Not Enabled,"#89 in LGBTQ+ Travel (Kindle Store)(https://www.amazon.com/gp/bestsellers/digital-text/10886546011/ref=pd_zg_hrsr_digital-text), #114 in LGBTQ+ Travel (Books)(https://www.amazon.com/gp/bestsellers/books/17217/ref=pd_zg_hrsr_books), #499 in Transgender Studies(https://www.amazon.com/gp/bestsellers/digital-text/10886537011/ref=pd_zg_hrsr_digital-text)","4.8 out of 5 stars, 11 ratings"
Turkey Street: Jack and Liam move to Bodrum,Jack Scott,B00X1GLGU8,"Springtime Books (May 1, 2015)","May 1, 2015",English,3582 KB,Enabled,Enabled,Not Enabled,Enabled,342 pages,Enabled,"#88 in LGBTQ+ Travel (Kindle Store)(https://www.amazon.com/gp/bestsellers/digital-text/10886546011/ref=pd_zg_hrsr_digital-text), #113 in LGBTQ+ Travel (Books)(https://www.amazon.com/gp/bestsellers/books/17217/ref=pd_zg_hrsr_books), #1,405 in LGBTQ+ Biographies & Memoirs(https://www.amazon.com/gp/bestsellers/digital-text/156425011/ref=pd_zg_hrsr_digital-text)","4.7 out of 5 stars, 40 ratings"
Very Arrogant Bastard (Arrogant Bastards Book 1),J. Hali Steele,B07TDSV58B,,"July 5, 2019",English,928 KB,Enabled,Enabled,Not Enabled,Enabled,104 pages,Enabled,"#87 in LGBTQ+ Travel (Kindle Store)(https://www.amazon.com/gp/bestsellers/digital-text/10886546011/ref=pd_zg_hrsr_digital-text), #497 in LGBTQ+ Drama & Plays (Kindle Store)(https://www.amazon.com/gp/bestsellers/digital-text/10886539011/ref=pd_zg_hrsr_digital-text), #3,075 in LGBTQ+ Short Stories(https://www.amazon.com/gp/bestsellers/digital-text/7588791011/ref=pd_zg_hrsr_digital-text)","None, None"
"Bonely Planet Guidebook: London: A Savvy Guide for Gay and Curious Men--Spectacular Cruising, Sex, Spas, Secret Spots and Outdoor Adventures (Bonely Planet Guidebooks Book 1)",Jack Cox,B07NN6LCXJ,,"February 11, 2019",English,3456 KB,Enabled,Enabled,Not Enabled,Enabled,37 pages,Enabled,"#86 in LGBTQ+ Travel (Kindle Store)(https://www.amazon.com/gp/bestsellers/digital-text/10886546011/ref=pd_zg_hrsr_digital-text), #112 in LGBTQ+ Travel (Books)(https://www.amazon.com/gp/bestsellers/books/17217/ref=pd_zg_hrsr_books), #533 in One-Hour Travel Short Reads(https://www.amazon.com/gp/bestsellers/digital-text/8624201011/ref=pd_zg_hrsr_digital-text)","5.0 out of 5 stars, 5 ratings"
"Helen, Lesbian Millionaire on the Run: Paranormal Romance Fiction",Olivia Hampshire,B07JB1C5ZZ,,"October 9, 2018",English,3182 KB,Enabled,Enabled,Not Enabled,Enabled,109 pages,Enabled,"#85 in LGBTQ+ Travel (Kindle Store)(https://www.amazon.com/gp/bestsellers/digital-text/10886546011/ref=pd_zg_hrsr_digital-text), #447 in LGBTQ+ Poetry (Kindle Store)(https://www.amazon.com/gp/bestsellers/digital-text/6361450011/ref=pd_zg_hrsr_digital-text), #628 in LGBTQ+ Anthologies & Collections(https://www.amazon.com/gp/bestsellers/digital-text/10886540011/ref=pd_zg_hrsr_digital-text)","None, None"
Spring Break: A Story by the Author of Caged Boy Sings,Cameron Beyrent,B08CFNDLZZ,,"July 12, 2020",English,2948 KB,Enabled,Enabled,Not Enabled,Enabled,44 pages,Enabled,"#54 in Teen & Young Adult LGBT Nonfiction eBooks(https://www.amazon.com/gp/bestsellers/digital-text/7006676011/ref=pd_zg_hrsr_digital-text), #84 in LGBTQ+ Travel (Kindle Store)(https://www.amazon.com/gp/bestsellers/digital-text/10886546011/ref=pd_zg_hrsr_digital-text), #314 in Teen & Young Adult Holiday & Celebrations Fiction eBooks(https://www.amazon.com/gp/bestsellers/digital-text/15249037011/ref=pd_zg_hrsr_digital-text)","5.0 out of 5 stars, 6 ratings"
LGBT Baltimore (Images of Modern America),,B014I413CM,"Arcadia Publishing (August 17, 2015)","August 17, 2015",English,17123 KB,Enabled,Enabled,Not Enabled,Enabled,99 pages,Not Enabled,"#83 in LGBTQ+ Travel (Kindle Store)(https://www.amazon.com/gp/bestsellers/digital-text/10886546011/ref=pd_zg_hrsr_digital-text), #106 in LGBTQ+ Travel (Books)(https://www.amazon.com/gp/bestsellers/books/17217/ref=pd_zg_hrsr_books), #757 in South Atlantic U.S. Regional Travel(https://www.amazon.com/gp/bestsellers/digital-text/159994011/ref=pd_zg_hrsr_digital-text)","4.6 out of 5 stars, 5 ratings"
"Gay Bangkok: Complete Gay Travel Guide to Bangkok, Thailand",,B01MCXI7AV,,"October 23, 2016",English,1786 KB,Enabled,Enabled,Not Enabled,Enabled,61 pages,Enabled,"#82 in LGBTQ+ Travel (Kindle Store)(https://www.amazon.com/gp/bestsellers/digital-text/10886546011/ref=pd_zg_hrsr_digital-text), #103 in LGBTQ+ Travel (Books)(https://www.amazon.com/gp/bestsellers/books/17217/ref=pd_zg_hrsr_books), #160 in Bangkok Travel Guides(https://www.amazon.com/gp/bestsellers/books/67692/ref=pd_zg_hrsr_books)","4.4 out of 5 stars, 3 ratings"
You Can Run: Gay Travels In South America,Jesse Archer,B00TDQGIYE,,"February 8, 2015",English,2532 KB,Enabled,Enabled,Not Enabled,Enabled,231 pages,Enabled,"#80 in LGBTQ+ Travel (Kindle Store)(https://www.amazon.com/gp/bestsellers/digital-text/10886546011/ref=pd_zg_hrsr_digital-text), #88 in LGBTQ+ Travel (Books)(https://www.amazon.com/gp/bestsellers/books/17217/ref=pd_zg_hrsr_books), #1,234 in LGBTQ+ Biographies & Memoirs(https://www.amazon.com/gp/bestsellers/digital-text/156425011/ref=pd_zg_hrsr_digital-text)","4.4 out of 5 stars, 23 ratings"
Storms in Africa: A Year in the Motherland,Jeremy Helligar,B08KQCZHBW,,"December 4, 2020",English,705 KB,Enabled,Enabled,Not Enabled,Enabled,130 pages,Enabled,"#81 in LGBTQ+ Travel (Kindle Store)(https://www.amazon.com/gp/bestsellers/digital-text/10886546011/ref=pd_zg_hrsr_digital-text), #90 in LGBTQ+ Travel (Books)(https://www.amazon.com/gp/bestsellers/books/17217/ref=pd_zg_hrsr_books), #853 in African Travel(https://www.amazon.com/gp/bestsellers/digital-text/159937011/ref=pd_zg_hrsr_digital-text)","None, None"
Cascades: An MM Second-Chance Romance,Charley Descoteaux,B082BL5D8H,"CeeTwo Publishing; 2nd edition (December 3, 2019)","December 3, 2019",English,4392 KB,Enabled,Enabled,Not Enabled,Enabled,65 pages,Enabled,"#79 in LGBTQ+ Travel (Kindle Store)(https://www.amazon.com/gp/bestsellers/digital-text/10886546011/ref=pd_zg_hrsr_digital-text), #3,120 in Two-Hour LGBT Short Reads(https://www.amazon.com/gp/bestsellers/digital-text/8624236011/ref=pd_zg_hrsr_digital-text), #6,532 in Bisexual Romance(https://www.amazon.com/gp/bestsellers/digital-text/10886542011/ref=pd_zg_hrsr_digital-text)","2.5 out of 5 stars, 3 ratings"
Perking the Pansies - Jack and Liam Move to Turkey,Jack Scott,B00V2JDG2M,"Springtime Books (March 21, 2015)","March 21, 2015",English,815 KB,Enabled,Enabled,Not Enabled,Enabled,252 pages,Enabled,"#78 in LGBTQ+ Travel (Kindle Store)(https://www.amazon.com/gp/bestsellers/digital-text/10886546011/ref=pd_zg_hrsr_digital-text), #86 in LGBTQ+ Travel (Books)(https://www.amazon.com/gp/bestsellers/books/17217/ref=pd_zg_hrsr_books), #1,216 in LGBTQ+ Biographies & Memoirs(https://www.amazon.com/gp/bestsellers/digital-text/156425011/ref=pd_zg_hrsr_digital-text)","4.4 out of 5 stars, 65 ratings"
GAY ROMANCE MM NOVELS COMPILATION: Ridgemont University Series Books 1-3: Sweet South Africa College Love Stories M/M,Meredith Taylor,B01J26O8P0,,"July 24, 2016",English,1536 KB,Enabled,Enabled,Not Enabled,Enabled,528 pages,Enabled,"#77 in LGBTQ+ Travel (Kindle Store)(https://www.amazon.com/gp/bestsellers/digital-text/10886546011/ref=pd_zg_hrsr_digital-text), #579 in LGBTQ+ Anthologies & Collections(https://www.amazon.com/gp/bestsellers/digital-text/10886540011/ref=pd_zg_hrsr_digital-text), #10,680 in Romance Anthologies (Kindle Store)(https://www.amazon.com/gp/bestsellers/digital-text/158567011/ref=pd_zg_hrsr_digital-text)","4.6 out of 5 stars, 4 ratings"
NAUGHTY Teacher: 7 Student-Teacher Short Sex Stories,,B08PV2DL3P,,"December 6, 2020",English,2885 KB,Enabled,Enabled,Not Enabled,Enabled,104 pages,Enabled,"#76 in LGBTQ+ Travel (Kindle Store)(https://www.amazon.com/gp/bestsellers/digital-text/10886546011/ref=pd_zg_hrsr_digital-text), #765 in LGBT Comics, Manga & Graphic Novels(https://www.amazon.com/gp/bestsellers/digital-text/10886534011/ref=pd_zg_hrsr_digital-text), #3,169 in Poetic Erotica(https://www.amazon.com/gp/bestsellers/books/10159308011/ref=pd_zg_hrsr_books)","1.5 out of 5 stars, 2 ratings"
Real Queer America: LGBT Stories from Red States (Little Brown Us),Samantha Allen,B07DCSCP99,"Little, Brown and Company; Illustrated edition (March 5, 2019)","March 5, 2019",English,31888 KB,Enabled,Enabled,Enabled,Enabled,321 pages,Not Enabled,"#74 in LGBTQ+ Travel (Kindle Store)(https://www.amazon.com/gp/bestsellers/digital-text/10886546011/ref=pd_zg_hrsr_digital-text), #84 in LGBTQ+ Travel (Books)(https://www.amazon.com/gp/bestsellers/books/17217/ref=pd_zg_hrsr_books), #350 in Lesbian Studies(https://www.amazon.com/gp/bestsellers/digital-text/8288734011/ref=pd_zg_hrsr_digital-text)","4.6 out of 5 stars, 101 ratings"
